"id","code","name"
activity_272001,272001,FABRICACIÓN DE PRODUCTOS PRIMARIOS DE METALES PRECIOSOS Y METALES NO FERROSOS
activity_273101,273101,FUNDICION DE HIERRO Y ACERO
activity_273201,273201,FUNDICIÓN DE METALES NO FERROSOS
activity_281101,281101,FABRICACION DE PRODUCTOS METALICOS PARA USO ESTRUCTURAL
activity_281201,281201,"FABRICACIÓN DE TANQUES, DEPÓSITOS Y RECIPIENTES DE METAL"
activity_281301,281301,"FABRICACIÓN GENERADORES DE VAPOR, EXCEPTO CALDERAS DE AGUA CALIENTE PARA CALEFACCIÓN"
activity_289201,289201,SERVICIOS DE SOLDADURA
activity_289202,289202,SERVICIO DE TRATAMIENTO Y REVESTIMIENTO DE TODO TIPO DE MATERIALES
activity_289302,289302,HOJALATERIA
activity_289304,289304,TALLER DE MECáNICA DE PRECISIÓN
activity_289305,289305,"FABRICACION DE PIEZAS, ARTICULOS Y ACCESORIOS DE METAL INCLUYE LAS CERRAJERIAS."
activity_289306,289306,SERVICIOS DE TORNO (MECANICA DE PRECISION)
activity_289902,289902,FABRICACIÓN DE OTROS PRODUCTOS ELABORADOS DE METAL N.C.P.
activity_290001,290001,SERVICIO DE REPARACION DE MAQUINARIA Y EQUIPO.
activity_290003,290003,SERVICIO DE MANTENIMIENTO DE MAQUINARIA Y EQUIPO.
activity_291101,291101,"FABRICACIÓN DE MOTORES Y TURBINAS, EXCEPTO MOTORES PARA AERONAVES, VEHÍCULOS AUT"
activity_291201,291201,"FABRICACIÓN DE BOMBAS, COMPRESORES, GRIFOS Y VÁLVULAS"
activity_291202,291202,VENTA DE BOMBAS DE AGUA
activity_291401,291401,FABRICACIÓN DE HORNOS Y QUEMADORES
activity_291901,291901,REPARACION DE EQUIPO DE REFRIGERACION Y CONGELACION
activity_291903,291903,INSTALACION Y/O MANTENIMIENTO DE EQUIPO DE REFRIGERACION Y CONGELACION
activity_292101,292101,FABRICACION DE MAQUINARIA AGRICOLA
activity_292201,292201,FABRICACIÓN DE MÁQUINAS HERRAMIENTA
activity_292301,292301,FABRICACIÓN DE MAQUINARIA METALÚRGICA
activity_292401,292401,FABRICACIÓN DE MAQUINARIA PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS
activity_292402,292402,PERFORACION DE POZOS
activity_292501,292501,"FABRICACIÓN DE MAQUINARIA PARA LA ELABORACIÓN DE ALIMENTOS,BEBIDAS Y TABACO"
activity_292601,292601,"FABRICACIÓN MAQUINARIA PARA LA ELABORACIÓN DE PRODUCTOS TEXTILES, PRENDAS DE VES"
activity_292701,292701,FABRICACIÓN DE ARMAS Y MUNICIONES
activity_292901,292901,FABRICACIÓN DE OTROS TIPOS DE MAQUINARIA DE USO ESPECIAL
activity_293001,293001,FABRICACIÓN DE APARATOS DE USO DOMÉSTICO N.C.P.
activity_300001,300001,"FABRICACIÓN DE MAQUINARIA DE OFICINA, CONTABILIDAD E INFORMÁTICA"
activity_311001,311001,"FABRICACION DE MOTORES, GENERADORES Y TRANSFORMADORES ELECTRICOS, PARTES Y ACCESORIOS"
activity_313001,313001,FABRICACIÓN DE HILOS Y CABLES AISLADOS
activity_314001,314001,"FABRICACION DE PILAS, BATERIAS Y ACUMULADORES"
activity_315001,315001,FABRICACION DE LAMPARAS ELECTRICAS Y EQUIPO DE ILUMINACION
activity_319001,319001,FABRICACIÓN DE OTROS TIPOS DE EQUIPO ELÉCTRICO N.C.P.
activity_321001,321001,MANUFACTURA O FABRICACION DE OTROS COMPONENTES ELECTRONICOS
activity_321002,321002,DISEÑO DE COMPONENTES ELECTRONICOS
activity_322001,322001,FABRICACION DE TRANSMISORES Y RECEPTORES DE RADIO Y TELEVISION
activity_331101,331101,FABRICACION  DE PROTESIS EN GENERAL
activity_331102,331102,FABRICACION Y COMERCIALIZACION DE EQUIPO MEDICO
activity_331103,331103,FABRICACION Y COMERCIALIZACION DE ZAPATOS ORTOPEDICOS
activity_331201,331201,"FABRICACIÓN DE EQUIPOS PARA MEDIR, VERIFICAR, Y NAVEGAR Y DE EQUIPOS DE CONTROL"
activity_332001,332001,FABRICACIÓN DE INSTRUMENTOS OPTICOS Y EQUIPO FOTOGRÁFICO
activity_333001,333001,FABRICACION DE RELOJES DE TODO TIPO
activity_341001,341001,FABRICACIÓN DE VEHÍCULOS AUTOMOTORES
activity_342001,342001,"FABRICACIÓN DE CARROCERÍAS PARA VEHÍCULOS AUTOMOTORES, REMOLQUES Y SEMIREMOLQUES"
activity_34200,34200,"2 FABRICACION DE CARROCERIAS PARA CAMIONES DE LAS PARTIDAS ARANCELARIAS 870790002"
activity_343001,343001,"FABRICACIÓN DE PARTES, PIEZAS Y ACCESORIOS PARA VEHÍCULOS AUTOMOTORES"
activity_351101,351101,SERVICIO DE REPARACION DE EMBARCACIONES Y SUS PARTES Y/O ESTRUCTURAS FLOTANTES
activity_351102,351102,CONSTRUCCION DE EMBARCACIONES Y ESTRUCTURAS FLOTANTES
activity_351103,351103,VENTA DE EMBARCACIONES DE MOTOR Y VELA
activity_352001,352001,FABRICACIÓN DE LOCOMOTORAS Y  MATERIAL RODANTE PARA FERROCARRILES Y TRANVÍAS
